learn:mm.csv check:xkd.csv 	 Result: 	0.28625456813134137 	5229 	1906
  	class: 携带  	d: 11  	pt: 2.0  	diff:  牵A0.5 携A0.5 带走B0.75 带入B0.25
  	class: 搜刮  	d: 11  	pt: 2.0  	diff:  搂A1.0 敛财B0.3333333333333333 压迫B0.6666666666666666
  	class: 承揽  	d: 10  	pt: 2.0  	diff:  包揽A1.0 承包B1.0
  	class: 抱  	d: 3  	pt: 2.0  	diff:  抱抱A1.0 拥抱B1.0
  	class: 嵌  	d: 4  	pt: 2.0  	diff:  嵌A1.0 镶嵌B1.0
  	class: 松手  	d: 4  	pt: 2.0  	diff:  放手A1.0 松手B0.5 失手B0.5
  	class: 拆  	d: 8  	pt: 2.0  	diff:  拆开A1.0 拆迁B0.6521739130434783 拆解B0.08695652173913043 拆除B0.2608695652173913
  	class: 洗  	d: 15  	pt: 2.0  	diff:  洗洗A0.25 保洁A0.625 澡A0.125 清洗B1.0
  	class: 切割  	d: 2  	pt: 2.0  	diff:  割A1.0 切割B1.0
  	class: 揭穿  	d: 8  	pt: 2.0  	diff:  捅A0.3333333333333333 拆穿A0.6666666666666666 说穿B1.0
  	class: 倒闭  	d: 6  	pt: 2.0  	diff:  倒闭A1.0 关闭B1.0
  	class: 怂恿  	d: 14  	pt: 2.0  	diff:  怂A1.0 煽动B0.45454545454545453 怂恿B0.2727272727272727 教唆B0.09090909090909091 唆使B0.18181818181818182
  	class: 奔波  	d: 6  	pt: 2.0  	diff:  奔走A1.0 奔波B1.0
  	class: 访问  	d: 10  	pt: 2.0  	diff:  拜访A1.0 访问B0.8367346938775511 走访B0.04081632653061224 访B0.10204081632653061 拜会B0.02040816326530612
  	class: 大叫  	d: 11  	pt: 2.0  	diff:  惊呼A1.0 大叫B0.25 高呼B0.75
  	class: 轰  	d: 6  	pt: 2.0  	diff:  咆哮A0.25 吼A0.75 轰鸣B1.0
  	class: 解放  	d: 2  	pt: 2.0  	diff:  翻身A1.0 解放B1.0
  	class: 锻炼  	d: 12  	pt: 2.0  	diff:  锻炼A1.0 闯B0.75 磨砺B0.25
  	class: 变脸  	d: 4  	pt: 2.0  	diff:  翻脸A1.0 变脸B1.0
  	class: 争论  	d: 9  	pt: 2.0  	diff:  争执A0.25 计较A0.75 争议B0.4666666666666667 争论B0.5333333333333333
  	class: 醒悟  	d: 16  	pt: 2.0  	diff:  醒悟A0.5 觉悟A0.25 感悟A0.25 觉醒B1.0
  	class: 报答  	d: 6  	pt: 2.0  	diff:  报答A1.0 答B1.0
  	class: 推理  	d: 5  	pt: 2.0  	diff:  推理A1.0 推导B1.0
  	class: 敬仰  	d: 10  	pt: 2.0  	diff:  心仪A0.5 仰慕A0.5 景仰B1.0
  	class: 挂念  	d: 15  	pt: 2.0  	diff:  挂念A1.0 牵挂B0.5 悬念B0.5
  	class: 打听  	d: 12  	pt: 2.0  	diff:  叩问A0.5 探听A0.5 询问B0.6 打听B0.4
  	class: 怜悯  	d: 16  	pt: 2.0  	diff:  同情A1.0 怜悯B1.0
  	class: 吝惜  	d: 6  	pt: 2.0  	diff:  舍不得A1.0 吝惜B1.0
  	class: 抵抗  	d: 11  	pt: 2.0  	diff:  抵挡A1.0 反抗B0.75 抵御B0.25
  	class: 发动  	d: 8  	pt: 2.0  	diff:  兴师动众A1.0 动员B0.6470588235294118 鼓动B0.35294117647058826
  	class: 起跑  	d: 10  	pt: 2.0  	diff:  开张A0.5 开课A0.5 开盘B1.0
  	class: 抗拒  	d: 5  	pt: 2.0  	diff:  抗A1.0 抵制B0.75 抗拒B0.25
  	class: 驻扎  	d: 10  	pt: 2.0  	diff:  屯A1.0 驻B0.9130434782608695 驻防B0.043478260869565216 进驻B0.043478260869565216
  	class: 循环  	d: 6  	pt: 2.0  	diff:  巡回A1.0 轮回B1.0
  	class: 打扰  	d: 3  	pt: 2.0  	diff:  打扰A1.0 扰B1.0
  	class: 招认  	d: 5  	pt: 2.0  	diff:  交待A1.0 认罪B1.0
