learn:gkw.csv check:mm.csv 	 Result: 	0.24131683703322554 	6319 	2290
  	class: 褪色  	d: 6  	pt: 2.0  	diff:  褪色A1.0 掉色B1.0
  	class: 横死  	d: 11  	pt: 2.0  	diff:  身亡A0.25 丧命A0.5 丧生A0.25 送命B1.0
  	class: 开花  	d: 12  	pt: 2.0  	diff:  开放A0.6610169491525424 开花A0.288135593220339 绽放A0.03389830508474576 绽开A0.01694915254237288 盛开B1.0
  	class: 巧遇  	d: 6  	pt: 2.0  	diff:  邂逅A1.0 偶遇B1.0
  	class: 争先  	d: 6  	pt: 2.0  	diff:  抢先A1.0 争相B1.0
  	class: 吃苦  	d: 6  	pt: 2.0  	diff:  受苦A0.6666666666666666 遭罪A0.3333333333333333 吃苦B1.0
  	class: 沾光  	d: 4  	pt: 2.0  	diff:  受益A1.0 讨巧B1.0
  	class: 得宠  	d: 3  	pt: 2.0  	diff:  得宠A1.0 受宠B1.0
  	class: 胜败  	d: 5  	pt: 2.0  	diff:  成败A0.14285714285714285 胜负A0.7142857142857143 高下A0.14285714285714285 输赢B1.0
  	class: 散场  	d: 4  	pt: 2.0  	diff:  落幕A1.0 散场B1.0
  	class: 停滞  	d: 5  	pt: 2.0  	diff:  僵化A0.5 驻足A0.5 停滞B1.0
  	class: 年老  	d: 24  	pt: 1.9999999999999998  	diff:  早衰A0.3333333333333333 年老A0.6666666666666666 苍老B0.6666666666666666 老态龙钟B0.3333333333333333
  	class: 捆  	d: 15  	pt: 1.9999999999999998  	diff:  绑A0.5 捆绑A0.5 包扎B0.6666666666666666 箍B0.3333333333333333
  	class: 便利  	d: 12  	pt: 1.9999999999999998  	diff:  省事A0.5 轻便A0.5 省心B0.6666666666666666 便捷B0.3333333333333333
  	class: 吵闹  	d: 9  	pt: 1.9999999999999998  	diff:  叫嚣A0.25 嚷A0.5 吵闹A0.25 起哄B0.6666666666666666 哭闹B0.3333333333333333
  	class: 唠叨  	d: 14  	pt: 1.967741935483871  	diff:  磨牙A0.9838709677419355 念叨AB0.9838709677419355
  	class: 作战  	d: 8  	pt: 1.952380952380952  	diff:  作战A0.07142857142857142 战A0.9047619047619048 上阵AB0.30952380952380953 打仗B0.6666666666666666
  	class: 协商  	d: 25  	pt: 1.9393939393939394  	diff:  说道A0.5757575757575758 商A0.09090909090909091 商榷A0.06060606060606061 协议A0.21212121212121213 情商AB0.9696969696969697 商讨A0.030303030303030304
  	class: 剧本  	d: 5  	pt: 1.9375  	diff:  脚本A0.90625 剧本AB0.96875 本子A0.0625
  	class: 头  	d: 10  	pt: 1.935483870967742  	diff:  脑袋A0.22580645161290322 脑部A0.5483870967741935 头部A0.1935483870967742 满头AB0.967741935483871
