learn:ktx.csv check:mm.csv 	 Result: 	0.2287822316668106 	5626 	2222
  	class: 应该  	d: 13  	pt: 1.6  	diff:  应有AB0.8 活该B0.8
  	class: 摇动  	d: 8  	pt: 1.6  	diff:  摇A0.8 摇头AB0.8
  	class: 勤奋  	d: 26  	pt: 1.6  	diff:  勤奋AB0.2333333333333333 身体力行A0.3 勤劳A0.3 勤快AB0.5666666666666667 精卫填海A0.1 勤恳A0.1
  	class: 抗拒  	d: 5  	pt: 1.6  	diff:  抗拒A0.6 抵制A0.2 抗AB0.8
  	class: 背井离乡  	d: 7  	pt: 1.6  	diff:  离家A0.8 远离AB0.8
  	class: 床单  	d: 4  	pt: 1.5999999999999999  	diff:  床单AB0.8 单子B0.6 被单B0.2
  	class: 通顺  	d: 10  	pt: 1.5999999999999999  	diff:  流畅A0.6 流利AB0.8 珠圆玉润A0.2
  	class: 制止  	d: 10  	pt: 1.5833333333333335  	diff:  限于A0.5625 压制A0.125 扼杀AB0.02083333333333333 制止AB0.04166666666666667 压A0.0625 挫AB0.7708333333333334
  	class: 谄媚  	d: 32  	pt: 1.5757575757575755  	diff:  捧A0.6363636363636364 取悦AB0.053030303030303025 讨好AB0.30681818181818177 谄媚A0.030303030303030304 献殷勤A0.030303030303030304 买好AB0.13636363636363635 吹捧A0.030303030303030304 恭维A0.06060606060606061 拍马屁B0.2916666666666667
  	class: 出台  	d: 7  	pt: 1.5714285714285716  	diff:  登场A0.21428571428571427 出场AB0.7857142857142857 上场A0.03571428571428571 登台A0.03571428571428571 出演A0.5
  	class: 途径  	d: 10  	pt: 1.5555555555555556  	diff:  路线A0.3888888888888889 路径A0.16666666666666666 途径A0.16666666666666666 路子AB0.7777777777777778 门道A0.05555555555555555
  	class: 军队  	d: 17  	pt: 1.5384615384615383  	diff:  武力A0.23076923076923078 军A0.15384615384615385 部队A0.07692307692307693 军事A0.15384615384615385 队伍AB0.7692307692307692 军旅A0.07692307692307693 人马A0.07692307692307693
  	class: 噪音  	d: 2  	pt: 1.5384615384615383  	diff:  噪声A0.7692307692307693 噪音AB0.7692307692307692
  	class: 计划  	d: 14  	pt: 1.5294117647058822  	diff:  计划AB0.7647058823529411 规划A0.7647058823529411
  	class: 靠近  	d: 21  	pt: 1.5238095238095237  	diff:  贴近A0.09523809523809523 靠近AB0.7619047619047619 走近A0.19047619047619047 凑近A0.047619047619047616 守A0.23809523809523808 靠拢A0.14285714285714285 傍A0.047619047619047616
  	class: 缺点  	d: 14  	pt: 1.511111111111111  	diff:  弱点AB0.26666666666666666 缺陷A0.4444444444444444 缺点AB0.7555555555555555 瑕疵AB0.04444444444444444
  	class: 固执  	d: 22  	pt: 1.5000000000000002  	diff:  僵硬A0.5 固执A0.25 偏执AB0.33333333333333337 执着AB0.4166666666666667
  	class: 望族  	d: 9  	pt: 1.5  	diff:  世家A0.75 豪门AB0.75
  	class: 臂  	d: 10  	pt: 1.5  	diff:  双臂A0.25 胳膊A0.5 手臂AB0.25 上肢B0.5
  	class: 交好  	d: 7  	pt: 1.5  	diff:  友善AB0.75 修好A0.5 交好A0.25
  	class: 冠以  	d: 2  	pt: 1.5  	diff:  冠以A0.75 冠AB0.75
  	class: 脚  	d: 8  	pt: 1.5  	diff:  脚丫子AB0.75 脚底A0.75
  	class: 模糊  	d: 27  	pt: 1.5  	diff:  朦胧A0.25 缥缈A0.25 飘渺A0.25 恍惚AB0.75
  	class: 确实  	d: 24  	pt: 1.5  	diff:  活生生AB0.75 确凿B0.25 实B0.5
  	class: 汗  	d: 5  	pt: 1.5  	diff:  汗AB0.75 汗水A0.75
  	class: 诬蔑  	d: 19  	pt: 1.5  	diff:  诽谤A0.25 中伤A0.25 造谣AB0.75 诋毁A0.25
  	class: 卧室  	d: 5  	pt: 1.5  	diff:  寝室AB0.75 卧室A0.75
  	class: 客套话  	d: 6  	pt: 1.5  	diff:  客套AB0.75 客套话A0.75
  	class: 指挥  	d: 3  	pt: 1.5  	diff:  挥A0.75 指挥AB0.75
  	class: 地点  	d: 2  	pt: 1.5  	diff:  地点AB0.75 地址B0.75
  	class: 隐瞒  	d: 5  	pt: 1.5  	diff:  隐秘A0.75 瞒AB0.75
  	class: 早饭  	d: 2  	pt: 1.5  	diff:  早饭A0.75 早餐AB0.75
  	class: 心灵  	d: 7  	pt: 1.5  	diff:  心灵A0.625 眼尖AB0.75 手快A0.125
  	class: 色情  	d: 10  	pt: 1.5  	diff:  色情A0.25 艳A0.125 桃色AB0.375 风流A0.375 黄色AB0.375
  	class: 真话  	d: 7  	pt: 1.5  	diff:  实话AB0.75 心声A0.5 真话A0.25
  	class: 备考  	d: 2  	pt: 1.5  	diff:  备考A0.75 备注AB0.75
  	class: 理发店  	d: 9  	pt: 1.5  	diff:  发廊A0.25 美容院AB0.75 理发店A0.5
  	class: 出头  	d: 10  	pt: 1.5  	diff:  出头A0.75 起色AB0.75
  	class: 软  	d: 11  	pt: 1.5  	diff:  柔软A0.5 心软AB0.75 细软A0.25
  	class: 缓  	d: 7  	pt: 1.5  	diff:  复苏AB0.75 休息B0.5 缓B0.25
  	class: 结冰  	d: 9  	pt: 1.5  	diff:  冰冻A0.5 结冰A0.25 冻AB0.75
  	class: 诚实  	d: 18  	pt: 1.5  	diff:  诚实AB0.75 仗义A0.75
