learn:mm.csv check:xsx.csv 	 Result: 	0.23533789215156914 	4704 	2070
  	class: 乡村  	d: 12  	pt: 1.8461538461538463  	diff:  乡村AB0.9230769230769231 农村B0.9230769230769231
  	class: 系统  	d: 2  	pt: 1.8  	diff:  体系AB0.9 系统B0.9
  	class: 真话  	d: 7  	pt: 1.8  	diff:  实话AB0.9 真话B0.9
  	class: 动人  	d: 14  	pt: 1.7894736842105263  	diff:  感人AB0.8947368421052632 动人B0.8947368421052632
  	class: 捆  	d: 15  	pt: 1.7777777777777777  	diff:  包扎AB0.5555555555555556 箍A0.3333333333333333 绑B0.6666666666666666 捆绑B0.2222222222222222
  	class: 倾  	d: 6  	pt: 1.7777777777777777  	diff:  歪A0.7777777777777778 倾斜AB0.8888888888888888 侧A0.1111111111111111
  	class: 抵抗  	d: 11  	pt: 1.7777777777777777  	diff:  抵挡AB0.8888888888888888 反抗B0.7777777777777778 抵御B0.1111111111111111
  	class: 意气  	d: 4  	pt: 1.75  	diff:  口味AB0.875 气味B0.875
  	class: 挂念  	d: 15  	pt: 1.7142857142857144  	diff:  挂念AB0.8571428571428572 牵挂B0.5714285714285714 悬念B0.2857142857142857
  	class: 凶恶  	d: 19  	pt: 1.7142857142857142  	diff:  邪恶AB0.8571428571428572 凶狠B0.2857142857142857 凶B0.5714285714285714
  	class: 培养  	d: 11  	pt: 1.7  	diff:  培养AB0.85 树B0.65 塑造B0.2
  	class: 模糊  	d: 27  	pt: 1.6666666666666667  	diff:  恍惚AB0.8333333333333334 朦胧B0.8333333333333334
  	class: 诀窍  	d: 13  	pt: 1.6666666666666667  	diff:  门槛AB0.8333333333333334 秘诀A0.8333333333333334
  	class: 签注  	d: 3  	pt: 1.6666666666666667  	diff:  签证AB0.8333333333333334 签B0.8333333333333334
  	class: 制止  	d: 10  	pt: 1.6666666666666667  	diff:  挫A0.8333333333333334 扼杀AB0.16666666666666669 制止AB0.16666666666666669 压B0.5
  	class: 作战  	d: 8  	pt: 1.6666666666666667  	diff:  上阵A0.3333333333333333 打仗AB0.5 战B0.6666666666666666 交战B0.16666666666666666
  	class: 纠缠  	d: 12  	pt: 1.6666666666666667  	diff:  缠A0.25 纠缠AB0.5833333333333334 绕B0.8333333333333334
  	class: 翘  	d: 6  	pt: 1.6666666666666667  	diff:  抬AB0.8333333333333334 翘B0.3333333333333333 撅B0.5
  	class: 准确  	d: 6  	pt: 1.6666666666666667  	diff:  精确AB0.8333333333333334 准确B0.8333333333333334
  	class: 进步  	d: 21  	pt: 1.6666666666666667  	diff:  进化AB0.33333333333333337 学好A0.5 长进B0.16666666666666666 前行B0.16666666666666666 上扬B0.3333333333333333 进取B0.16666666666666666
  	class: 抱  	d: 3  	pt: 1.6666666666666667  	diff:  抱抱AB0.8333333333333334 拥抱B0.8333333333333334
  	class: 范围  	d: 6  	pt: 1.6666666666666665  	diff:  局面AB0.16666666666666666 圈圈A0.8333333333333334 规模B0.3333333333333333 层面B0.3333333333333333
  	class: 广泛  	d: 14  	pt: 1.6363636363636362  	diff:  大面积AB0.45454545454545453 常见AB0.36363636363636365 广B0.7727272727272727 广阔B0.045454545454545456
  	class: 慌张  	d: 35  	pt: 1.6000000000000003  	diff:  惊慌AB0.4 慌乱AB0.4 心慌B0.4 慌张B0.3 发毛B0.1
  	class: 废物  	d: 14  	pt: 1.6  	diff:  渣A0.6 垃圾堆A0.2 垃圾AB0.8
  	class: 围绕  	d: 11  	pt: 1.6  	diff:  围绕A0.5 环AB0.3 圈B0.8
  	class: 式样  	d: 6  	pt: 1.6  	diff:  款式A0.8 形式AB0.8
  	class: 瘫痪  	d: 8  	pt: 1.6  	diff:  瘫AB0.8 偏瘫B0.2 瘫痪B0.6
  	class: 浴室  	d: 5  	pt: 1.6  	diff:  浴室AB0.8 浴池A0.8
  	class: 锻炼  	d: 12  	pt: 1.6  	diff:  锻炼AB0.8 闯B0.8
  	class: 沉迷  	d: 16  	pt: 1.6  	diff:  沉迷AB0.1333333333333333 迷恋A0.6666666666666666 迷B0.3 着迷B0.3 沉溺B0.1 入迷B0.1
  	class: 节拍  	d: 6  	pt: 1.5555555555555556  	diff:  节奏AB0.7777777777777778 音频B0.7777777777777778
