learn:ktx.csv check:xsx.csv 	 Result: 	0.22422808285257675 	6503 	2555
  	class: 立户  	d: 6  	pt: 2.0  	diff:  成家立业A1.0 置业B1.0
  	class: 表扬  	d: 4  	pt: 2.0  	diff:  表彰A0.6666666666666666 旌A0.3333333333333333 表扬B1.0
  	class: 推迟  	d: 11  	pt: 2.0  	diff:  延迟A0.6666666666666666 推迟A0.3333333333333333 延缓B1.0
  	class: 接替  	d: 6  	pt: 2.0  	diff:  接手A1.0 接替B1.0
  	class: 点缀  	d: 2  	pt: 2.0  	diff:  点缀A1.0 装点B1.0
  	class: 贿赂  	d: 11  	pt: 2.0  	diff:  贿赂A1.0 打点B1.0
  	class: 出境  	d: 6  	pt: 2.0  	diff:  出境A1.0 出国B1.0
  	class: 加快  	d: 7  	pt: 2.0  	diff:  加快A0.5 增速A0.5 加速B1.0
  	class: 制图  	d: 5  	pt: 2.0  	diff:  制图A1.0 绘制B1.0
  	class: 救治  	d: 4  	pt: 2.0  	diff:  急救A1.0 急诊B1.0
  	class: 走亲戚  	d: 2  	pt: 2.0  	diff:  串亲戚A1.0 走亲戚B1.0
  	class: 逞能  	d: 4  	pt: 2.0  	diff:  逞能A1.0 逞强B1.0
  	class: 生事  	d: 32  	pt: 2.0  	diff:  作恶A0.3076923076923077 扰民A0.46153846153846156 作祟A0.23076923076923078 闹事B0.5 生事B0.5
  	class: 促使  	d: 3  	pt: 2.0  	diff:  驱使A1.0 促使B1.0
  	class: 勾结  	d: 12  	pt: 2.0  	diff:  勾结A1.0 勾搭B1.0
  	class: 结伙  	d: 5  	pt: 2.0  	diff:  拉帮结派A1.0 为伍B1.0
  	class: 流逝  	d: 5  	pt: 2.0  	diff:  流逝A1.0 蹉跎B1.0
  	class: 混进  	d: 3  	pt: 2.0  	diff:  混迹A1.0 混进B1.0
  	class: 凑合  	d: 5  	pt: 2.0  	diff:  并拢A1.0 拼接B1.0
  	class: 做饭  	d: 4  	pt: 2.0  	diff:  下厨A1.0 做饭B1.0
  	class: 拿获  	d: 8  	pt: 2.0  	diff:  抓走A0.5 捕获A0.5 抓获B1.0
  	class: 游街  	d: 2  	pt: 2.0  	diff:  示众A1.0 游街B1.0
  	class: 沉睡  	d: 7  	pt: 2.0  	diff:  酣睡A1.0 熟睡B1.0
  	class: 垂死  	d: 5  	pt: 2.0  	diff:  濒危A1.0 临危B1.0
  	class: 吃苦  	d: 6  	pt: 2.0  	diff:  遭罪A1.0 受苦B1.0
  	class: 遇刺  	d: 2  	pt: 2.0  	diff:  遇刺A1.0 遇害B1.0
  	class: 失踪  	d: 5  	pt: 2.0  	diff:  走失A1.0 失踪B1.0
  	class: 罢休  	d: 7  	pt: 2.0  	diff:  罢休A1.0 用尽B1.0
  	class: 减半  	d: 3  	pt: 2.0  	diff:  扣除A1.0 减半B1.0
  	class: 共存  	d: 13  	pt: 2.0  	diff:  幸存A1.0 并存B1.0
  	class: 失传  	d: 2  	pt: 2.0  	diff:  失传A1.0 绝版B1.0
  	class: 免得  	d: 5  	pt: 2.0  	diff:  免于A1.0 免得B1.0
  	class: 暖气  	d: 5  	pt: 1.9999999999999998  	diff:  热气A1.0 暖气B0.6666666666666666 热流B0.3333333333333333
  	class: 灵巧  	d: 12  	pt: 1.9999999999999998  	diff:  灵活A0.5 眼疾A0.5 圆通B0.3333333333333333 灵便B0.3333333333333333 灵巧B0.3333333333333333
  	class: 摊  	d: 13  	pt: 1.9999999999999998  	diff:  小摊A1.0 货柜B0.6666666666666666 摊档B0.3333333333333333
  	class: 妥当  	d: 13  	pt: 1.9999999999999998  	diff:  稳A1.0 稳妥B0.3333333333333333 妥当B0.3333333333333333 妥善B0.3333333333333333
  	class: 捏造  	d: 9  	pt: 1.9692307692307693  	diff:  编A0.8923076923076924 捏造A0.03076923076923077 编造A0.06153846153846154 虚构AB0.9846153846153847
  	class: 仙女  	d: 3  	pt: 1.92  	diff:  仙女A0.92 仙子AB0.96 天仙A0.04
  	class: 顶用  	d: 19  	pt: 1.9  	diff:  实用AB0.2833333333333333 可行A0.3333333333333333 顶用A0.3333333333333333 有用B0.95
  	class: 闪光  	d: 10  	pt: 1.8823529411764706  	diff:  闪耀A0.9411764705882353 闪光AB0.4411764705882353 闪烁B0.5
  	class: 奇怪  	d: 30  	pt: 1.8333333333333333  	diff:  奇幻A0.25 稀奇A0.5 奇妙AB0.9166666666666666 诡异A0.16666666666666666
  	class: 推理  	d: 5  	pt: 1.8181818181818181  	diff:  演绎A0.9090909090909091 推理AB0.9090909090909091
  	class: 杰作  	d: 16  	pt: 1.8000000000000003  	diff:  雄文A0.1 名著A0.2 大手笔A0.4 名作AB0.9 大作A0.1 香花A0.1
  	class: 衰落  	d: 23  	pt: 1.777777777777778  	diff:  凋零A0.1111111111111111 衰落A0.5555555555555556 衰老A0.2222222222222222 衰退AB0.3888888888888889 萎缩B0.5
  	class: 脸  	d: 7  	pt: 1.7777777777777777  	diff:  人脸A0.2222222222222222 面孔A0.6666666666666666 脸部AB0.8888888888888888
  	class: 剧本  	d: 5  	pt: 1.7777777777777777  	diff:  脚本A0.1111111111111111 剧本A0.7777777777777778 本子AB0.8888888888888888
  	class: 兼职  	d: 7  	pt: 1.7777777777777777  	diff:  兼AB0.8888888888888888 兼职B0.8888888888888888
  	class: 抱歉  	d: 10  	pt: 1.75  	diff:  抱歉A0.75 愧疚AB0.875 内疚A0.125
  	class: 命名  	d: 5  	pt: 1.75  	diff:  取名A0.875 命名AB0.875
  	class: 解雇  	d: 5  	pt: 1.7142857142857144  	diff:  辞退AB0.8571428571428572 解雇B0.14285714285714285 辞掉B0.7142857142857143
  	class: 加剧  	d: 10  	pt: 1.7142857142857144  	diff:  强化A0.42857142857142855 加剧A0.14285714285714285 加深AB0.8571428571428572 加重A0.2857142857142857
  	class: 割裂  	d: 7  	pt: 1.7142857142857142  	diff:  隔绝A0.5714285714285714 割裂A0.14285714285714285 隔断A0.14285714285714285 隔离AB0.8571428571428572
  	class: 形势  	d: 8  	pt: 1.7142857142857142  	diff:  风头A0.5714285714285714 风云AB0.8571428571428572 局势A0.14285714285714285 阵势A0.14285714285714285
  	class: 谦虚  	d: 15  	pt: 1.7142857142857142  	diff:  谦虚A0.42857142857142855 谦和A0.14285714285714285 谦恭A0.14285714285714285 客气AB0.8571428571428572 谦逊A0.14285714285714285
  	class: 就是  	d: 9  	pt: 1.6842105263157894  	diff:  便是A0.15789473684210525 身为A0.6842105263157895 算得AB0.2807017543859649 视为AB0.5614035087719298
  	class: 界限  	d: 6  	pt: 1.6666666666666667  	diff:  界A0.75 鸿沟AB0.8333333333333334 壁垒A0.08333333333333333
  	class: 食谱  	d: 4  	pt: 1.6666666666666667  	diff:  菜单AB0.33333333333333337 食谱A0.25 菜系A0.25 菜谱B0.8333333333333334
  	class: 缘分  	d: 5  	pt: 1.6666666666666667  	diff:  姻缘A0.6666666666666666 缘分AB0.8333333333333334 情缘A0.16666666666666666
  	class: 后路  	d: 5  	pt: 1.6666666666666667  	diff:  余地AB0.8333333333333334 退路B0.8333333333333334
  	class: 喧哗  	d: 24  	pt: 1.6666666666666667  	diff:  闹腾AB0.8333333333333334 聒噪A0.3333333333333333 喧闹A0.3333333333333333 喧哗A0.16666666666666666
  	class: 安稳  	d: 3  	pt: 1.6666666666666667  	diff:  笃定AB0.8333333333333334 安稳B0.8333333333333334
  	class: 扩大  	d: 8  	pt: 1.6666666666666667  	diff:  恢弘AB0.8333333333333334 扩张A0.3333333333333333 扩充A0.5
  	class: 信服  	d: 7  	pt: 1.6666666666666667  	diff:  认A0.8333333333333334 服气AB0.8333333333333334
  	class: 舍得  	d: 4  	pt: 1.6666666666666667  	diff:  舍得AB0.8333333333333334 不惜A0.8333333333333334
  	class: 推翻  	d: 5  	pt: 1.6666666666666667  	diff:  击倒AB0.8333333333333334 打倒B0.6666666666666666 打翻B0.16666666666666666
  	class: 养分  	d: 4  	pt: 1.6666666666666665  	diff:  营养AB0.8333333333333334 养分A0.16666666666666666 滋养A0.6666666666666666
  	class: 稀少  	d: 27  	pt: 1.6666666666666665  	diff:  罕见A0.16666666666666666 稀缺A0.3333333333333333 稀少A0.16666666666666666 鲜有A0.16666666666666666 少有AB0.8333333333333334
  	class: 查阅  	d: 6  	pt: 1.6527777777777777  	diff:  翻看A0.1111111111111111 查AB0.7152777777777778 查看AB0.8107638888888888 翻开B0.015625
  	class: 向来  	d: 16  	pt: 1.6363636363636365  	diff:  素AB0.8181818181818181 向来A0.6363636363636364 平生A0.18181818181818182
  	class: 傻子  	d: 8  	pt: 1.6363636363636362  	diff:  傻子A0.8181818181818182 傻瓜AB0.8181818181818181
  	class: 机智  	d: 31  	pt: 1.625  	diff:  敏感AB0.8125 灵动A0.09375 机智A0.1875 玲珑A0.03125 乖巧A0.25 机灵A0.1875 精灵A0.03125 敏锐A0.03125
  	class: 猛烈  	d: 19  	pt: 1.6179775280898878  	diff:  火爆AB0.032584269662921356 剧烈A0.02247191011235955 剧A0.7303370786516854 激烈AB0.5213483146067416 凶猛A0.02247191011235955 烈烈A0.02247191011235955 热烈AB0.1662921348314607 猛烈AB0.08876404494382023 炽烈A0.011235955056179775
  	class: 愿望  	d: 5  	pt: 1.6031746031746033  	diff:  意愿A0.42857142857142855 心愿AB0.373015873015873 愿望AB0.8015873015873016
  	class: 口吃  	d: 5  	pt: 1.6  	diff:  口吃A0.8 结巴AB0.8
  	class: 独子  	d: 6  	pt: 1.6  	diff:  独生子A0.3333333333333333 独生子女AB0.4666666666666666 独生女B0.4 独子B0.4
  	class: 媒人  	d: 9  	pt: 1.6  	diff:  红娘A0.4 媒婆A0.2 媒介AB0.8 媒A0.2
  	class: 计算  	d: 16  	pt: 1.6  	diff:  计AB0.3 算算A0.5 盘算B0.2 计算B0.6
  	class: 走运  	d: 13  	pt: 1.6  	diff:  好运A0.4 侥幸A0.2 幸运AB0.8 有幸A0.2
  	class: 瘫痪  	d: 8  	pt: 1.6  	diff:  瘫AB0.8 偏瘫B0.2 瘫痪B0.6
  	class: 响  	d: 17  	pt: 1.6  	diff:  响亮A0.6 宏亮A0.2 高亢AB0.8
  	class: 稳重  	d: 11  	pt: 1.6  	diff:  沉稳A0.4 稳重A0.4 稳健AB0.8
  	class: 优越  	d: 12  	pt: 1.6  	diff:  优渥AB0.8 优越A0.2 优胜A0.6
  	class: 飘  	d: 25  	pt: 1.6  	diff:  飘AB0.8 飞扬B0.8
  	class: 环视  	d: 6  	pt: 1.6  	diff:  围观A0.8 扫描AB0.8
  	class: 醒悟  	d: 16  	pt: 1.6  	diff:  感悟A0.2 觉悟A0.3 醒悟AB0.8 觉醒A0.3
  	class: 撤销  	d: 10  	pt: 1.6  	diff:  撤销A0.25 取消AB0.3 注销A0.25 收回B0.2 撤B0.6
  	class: 引导  	d: 3  	pt: 1.6  	diff:  引导AB0.8 指引B0.8
  	class: 遵守  	d: 9  	pt: 1.6  	diff:  信守A0.2 遵守AB0.8 遵从A0.6
  	class: 共同  	d: 31  	pt: 1.5999999999999999  	diff:  旅A0.1 合A0.6 联手A0.1 联合AB0.5083333333333333 合伙B0.041666666666666664 同台B0.125 手拉手B0.125
