learn:jqzx.csv check:xkd.csv 	 Result: 	0.2487583258994408 	6133 	2237
  	class: 鄙视  	d: 24  	pt: 1.9999999999999998  	diff:  小看A1.0 藐视B0.14285714285714285 瞧不起B0.14285714285714285 蔑视B0.14285714285714285 唾弃B0.14285714285714285 小觑B0.42857142857142855
  	class: 惊恐  	d: 16  	pt: 1.9999999999999998  	diff:  惊恐A1.0 惊惧B0.6666666666666666 惶恐B0.3333333333333333
  	class: 炫耀  	d: 17  	pt: 1.9999999999999998  	diff:  炫A1.0 自诩B0.3333333333333333 夸耀B0.3333333333333333 标榜B0.3333333333333333
  	class: 贿赂  	d: 11  	pt: 1.9999999999999998  	diff:  打点A1.0 贿赂B0.2 行贿B0.2 收买B0.4 贿选B0.2
  	class: 借债  	d: 9  	pt: 1.9999999999999998  	diff:  借款A1.0 贷B0.6363636363636364 借贷B0.09090909090909091 举债B0.2727272727272727
  	class: 相反  	d: 10  	pt: 1.9999999999999998  	diff:  相悖A1.0 有悖于B0.6666666666666666 有悖B0.3333333333333333
  	class: 倒塌  	d: 9  	pt: 1.9999999999999996  	diff:  崩塌A1.0 塌B0.2857142857142857 倾倒B0.2857142857142857 倒下B0.2857142857142857 坍塌B0.14285714285714285
  	class: 差错  	d: 12  	pt: 1.9775280898876404  	diff:  偏差A0.9550561797752809 差错A0.033707865168539325 过错AB0.9887640449438202
  	class: 删除  	d: 10  	pt: 1.9772727272727273  	diff:  删除A0.7045454545454546 去除A0.2159090909090909 删去A0.03409090909090909 剔除A0.022727272727272728 删减AB0.6553030303030303 抹A0.011363636363636364 刨除B0.3333333333333333
  	class: 制图  	d: 5  	pt: 1.9764705882352942  	diff:  绘制A0.7294117647058823 绘图A0.25882352941176473 制图AB0.9882352941176471
  	class: 标注  	d: 4  	pt: 1.9727891156462585  	diff:  标注A0.9863945578231292 标AB0.9863945578231292
  	class: 体裁  	d: 4  	pt: 1.9722222222222223  	diff:  体A0.9762376237623762 样式AB0.009873487348734875 体制B0.9861111111111112
  	class: 秘书  	d: 3  	pt: 1.9595959595959596  	diff:  秘书AB0.9797979797979798 书记B0.9797979797979798
  	class: 优越  	d: 12  	pt: 1.9595959595959596  	diff:  优于A0.9797979797979798 优越AB0.9797979797979798
  	class: 旅客  	d: 4  	pt: 1.9393939393939394  	diff:  行人A0.9696969696969697 旅客AB0.4696969696969697 游子B0.5
  	class: 消灭  	d: 8  	pt: 1.9375  	diff:  消灭AB0.96875 除恶B0.96875
  	class: 整理  	d: 10  	pt: 1.9333333333333333  	diff:  整理AB0.9666666666666667 整治B0.9666666666666667
