learn:gkw.csv check:xsx.csv 	 Result: 	0.23860275317622354 	7431 	2775
  	class: 消遣  	d: 8  	pt: 2.0  	diff:  解闷A1.0 消遣B0.5 散心B0.25 排解B0.25
  	class: 舒服  	d: 10  	pt: 2.0  	diff:  过瘾A1.0 舒坦B1.0
  	class: 搜刮  	d: 11  	pt: 2.0  	diff:  榨取A0.2 压榨A0.2 压迫A0.4 敛财A0.2 搂B0.25 刮B0.75
  	class: 把握  	d: 4  	pt: 2.0  	diff:  握住A1.0 把握B1.0
  	class: 搀  	d: 5  	pt: 2.0  	diff:  携手A0.8 扶起A0.2 搀扶B1.0
  	class: 安葬  	d: 6  	pt: 2.0  	diff:  埋葬A1.0 入土B0.75 下葬B0.25
  	class: 闲置  	d: 9  	pt: 2.0  	diff:  搁置A1.0 搁B1.0
  	class: 松手  	d: 4  	pt: 2.0  	diff:  松手A1.0 放手B1.0
  	class: 荡涤  	d: 4  	pt: 2.0  	diff:  扫荡A1.0 横扫B1.0
  	class: 招手  	d: 2  	pt: 2.0  	diff:  摆手A1.0 招手B1.0
  	class: 炫耀  	d: 17  	pt: 2.0  	diff:  炫A1.0 自诩B0.5 显摆B0.5
  	class: 狂奔  	d: 5  	pt: 2.0  	diff:  奔命A0.5 飞奔A0.5 狂奔B1.0
  	class: 改过  	d: 25  	pt: 2.0  	diff:  悔过A0.5 洗心革面A0.5 回头B0.9333333333333333 改过B0.06666666666666667
  	class: 睁眼  	d: 4  	pt: 2.0  	diff:  睁A1.0 睁眼B1.0
  	class: 皱眉  	d: 4  	pt: 2.0  	diff:  皱眉A1.0 皱眉头B1.0
  	class: 惹气  	d: 7  	pt: 2.0  	diff:  惹恼A1.0 赌气B0.5714285714285714 怄气B0.42857142857142855
  	class: 泄恨  	d: 6  	pt: 2.0  	diff:  泄愤A1.0 迁怒B1.0
  	class: 喘息  	d: 9  	pt: 2.0  	diff:  气短A1.0 喘息B1.0
  	class: 准备  	d: 8  	pt: 2.0  	diff:  预备A1.0 备选B1.0
  	class: 无法  	d: 23  	pt: 2.0  	diff:  没辙A1.0 回天乏术B1.0
  	class: 醒悟  	d: 16  	pt: 2.0  	diff:  觉醒A0.8 顿悟A0.2 醒悟B1.0
  	class: 看破  	d: 4  	pt: 2.0  	diff:  透视A1.0 看透B1.0
  	class: 信服  	d: 7  	pt: 2.0  	diff:  认A1.0 服气B1.0
  	class: 吝惜  	d: 6  	pt: 2.0  	diff:  吝惜A1.0 舍不得B1.0
  	class: 原谅  	d: 8  	pt: 2.0  	diff:  见谅A1.0 谅解B0.5 海涵B0.5
  	class: 呼应  	d: 11  	pt: 2.0  	diff:  对号入座A1.0 照应B1.0
  	class: 推翻  	d: 5  	pt: 2.0  	diff:  推倒A1.0 打倒B0.6666666666666666 打翻B0.16666666666666666 击倒B0.16666666666666666
  	class: 斗争  	d: 14  	pt: 2.0  	diff:  争夺A0.75 角逐A0.25 抗暴B1.0
  	class: 让座  	d: 2  	pt: 2.0  	diff:  让位A1.0 让座B1.0
  	class: 处决  	d: 7  	pt: 2.0  	diff:  处死A1.0 镇压B1.0
  	class: 开枪  	d: 4  	pt: 2.0  	diff:  枪击A1.0 开枪B1.0
  	class: 击败  	d: 7  	pt: 2.0  	diff:  粉碎A0.3333333333333333 击败A0.6666666666666666 击溃B1.0
  	class: 撤兵  	d: 10  	pt: 2.0  	diff:  撤军A1.0 撤退B1.0
  	class: 离开  	d: 5  	pt: 2.0  	diff:  离去A0.6666666666666666 撤离A0.16666666666666666 走人A0.16666666666666666 开走B1.0
  	class: 办理  	d: 2  	pt: 2.0  	diff:  操办A1.0 办理B1.0
  	class: 消磨  	d: 3  	pt: 2.0  	diff:  打发A1.0 消磨B1.0
  	class: 立户  	d: 6  	pt: 2.0  	diff:  成家立业A1.0 置业B1.0
  	class: 开拓  	d: 2  	pt: 2.0  	diff:  开拓A1.0 开辟B1.0
  	class: 首创  	d: 3  	pt: 2.0  	diff:  始创A1.0 创始B1.0
  	class: 就职  	d: 10  	pt: 2.0  	diff:  就职A1.0 下车B1.0
  	class: 接替  	d: 6  	pt: 2.0  	diff:  接手A1.0 接替B1.0
  	class: 贿赂  	d: 11  	pt: 2.0  	diff:  行贿A0.4 收买A0.4 贿赂A0.2 打点B1.0
  	class: 卖掉  	d: 3  	pt: 2.0  	diff:  卖出A1.0 售出B1.0
  	class: 合计  	d: 11  	pt: 2.0  	diff:  总计A0.3333333333333333 累计A0.5555555555555556 统共A0.1111111111111111 共计B1.0
  	class: 练出  	d: 2  	pt: 2.0  	diff:  练出A1.0 练就B1.0
  	class: 留学  	d: 3  	pt: 2.0  	diff:  镀金A1.0 留学B1.0
  	class: 背诵  	d: 3  	pt: 2.0  	diff:  背诵A1.0 背书B1.0
  	class: 救治  	d: 4  	pt: 2.0  	diff:  救治A1.0 急诊B1.0
  	class: 详述  	d: 5  	pt: 2.0  	diff:  详述A1.0 细说B1.0
  	class: 帮衬  	d: 4  	pt: 2.0  	diff:  资助A0.8125 捐助A0.1875 补助B1.0
  	class: 救火  	d: 4  	pt: 2.0  	diff:  灭火A1.0 扑火B1.0
  	class: 逞能  	d: 4  	pt: 2.0  	diff:  逞能A1.0 逞强B1.0
  	class: 骗人  	d: 2  	pt: 2.0  	diff:  坑人A1.0 骗人B1.0
  	class: 生事  	d: 32  	pt: 2.0  	diff:  作怪A0.058823529411764705 作恶A0.5882352941176471 作祟A0.11764705882352941 点火A0.23529411764705882 闹事B0.5 生事B0.5
  	class: 流逝  	d: 5  	pt: 2.0  	diff:  流逝A1.0 蹉跎B1.0
  	class: 混进  	d: 3  	pt: 2.0  	diff:  混入A1.0 混进B1.0
  	class: 参军  	d: 11  	pt: 2.0  	diff:  服役A1.0 当兵B0.75 入伍B0.25
  	class: 祭奠  	d: 3  	pt: 2.0  	diff:  祭A1.0 祭奠B1.0
