learn:jqzx.csv check:mm.csv 	 Result: 	0.29404860406994177 	4538 	1732
  	class: 推测  	d: 16  	pt: 2.0  	diff:  推断A0.8874172185430463 推测A0.039735099337748346 测度A0.006622516556291391 推论A0.026490066225165563 揣测A0.006622516556291391 推想A0.033112582781456956 想来B1.0
  	class: 祷告  	d: 7  	pt: 2.0  	diff:  弥散A1.0 祈祷B1.0
  	class: 打听  	d: 12  	pt: 2.0  	diff:  询问A0.8636363636363636 打探A0.045454545454545456 垂询A0.045454545454545456 问询A0.045454545454545456 叩问B0.5 探听B0.5
  	class: 看破  	d: 4  	pt: 2.0  	diff:  透视A1.0 看穿B1.0
  	class: 信服  	d: 7  	pt: 2.0  	diff:  信服A1.0 服气B1.0
  	class: 不服  	d: 2  	pt: 2.0  	diff:  要强A1.0 不服B1.0
  	class: 怜悯  	d: 16  	pt: 2.0  	diff:  怜悯A1.0 同情B1.0
  	class: 抵抗  	d: 11  	pt: 2.0  	diff:  抵御A0.38461538461538464 阻抗A0.6153846153846154 抵挡B1.0
  	class: 抗拒  	d: 5  	pt: 2.0  	diff:  抵制A1.0 抗B1.0
  	class: 保卫  	d: 5  	pt: 2.0  	diff:  卫A1.0 捍卫B1.0
  	class: 驻扎  	d: 10  	pt: 2.0  	diff:  驻A1.0 屯B1.0
  	class: 侵吞  	d: 9  	pt: 2.0  	diff:  抢占A1.0 侵吞B1.0
  	class: 撤销  	d: 10  	pt: 2.0  	diff:  撤销A0.2727272727272727 取消A0.45454545454545453 收回A0.18181818181818182 撤除A0.09090909090909091 注销B1.0
  	class: 离开  	d: 5  	pt: 2.0  	diff:  撤出A1.0 撤离B1.0
  	class: 惩办  	d: 16  	pt: 2.0  	diff:  处置A1.0 收拾B0.6363636363636364 办B0.36363636363636365
  	class: 命名  	d: 5  	pt: 2.0  	diff:  命名A0.9777777777777777 为名A0.022222222222222223 取名B1.0
  	class: 折回  	d: 5  	pt: 2.0  	diff:  撤回A1.0 重返B1.0
  	class: 就职  	d: 10  	pt: 2.0  	diff:  新任A0.2 就任A0.2 就职A0.6 下车B1.0
  	class: 编织  	d: 2  	pt: 2.0  	diff:  编织A1.0 织B1.0
  	class: 租用  	d: 7  	pt: 2.0  	diff:  租用A1.0 租下B1.0
  	class: 谱曲  	d: 3  	pt: 2.0  	diff:  谱曲A1.0 作曲B1.0
  	class: 就医  	d: 4  	pt: 2.0  	diff:  就医A1.0 看病B1.0
  	class: 演出  	d: 9  	pt: 2.0  	diff:  上演A1.0 表演B0.43478260869565216 演B0.391304347826087 演出B0.17391304347826086
  	class: 招待  	d: 3  	pt: 2.0  	diff:  接待A1.0 招待B1.0
  	class: 瞎说  	d: 16  	pt: 2.0  	diff:  胡扯A1.0 放屁B1.0
  	class: 出借  	d: 5  	pt: 2.0  	diff:  放贷A1.0 借给B1.0
  	class: 排挤  	d: 9  	pt: 2.0  	diff:  排斥A1.0 互斥B0.5 倾轧B0.5
  	class: 混进  	d: 3  	pt: 2.0  	diff:  混进A1.0 混迹B1.0
  	class: 入行  	d: 2  	pt: 2.0  	diff:  入行A1.0 出道B1.0
  	class: 理发  	d: 4  	pt: 2.0  	diff:  剃头A1.0 整容B1.0
  	class: 晒  	d: 5  	pt: 2.0  	diff:  曝A1.0 晾B0.16666666666666666 晒B0.8333333333333334
  	class: 开市  	d: 6  	pt: 2.0  	diff:  开业A1.0 开饭B1.0
  	class: 杀害  	d: 7  	pt: 2.0  	diff:  杀害A1.0 凶杀B1.0
