learn:dsjwz.csv check:jqzx.csv 	 Result: 	0.17495377868796333 	5443 	2292
  	class: 混杂  	d: 24  	pt: 1.4285714285714286  	diff:  交集AB0.5142857142857143 夹A0.2 夹杂B0.21428571428571427 交织B0.14285714285714285 混杂B0.2857142857142857 掺杂B0.07142857142857142
  	class: 度过  	d: 4  	pt: 1.4285714285714286  	diff:  度过AB0.5892857142857143 渡过A0.125 度B0.7142857142857143
  	class: 车轮  	d: 5  	pt: 1.4095238095238094  	diff:  轮子AB0.5047619047619047 轮AB0.7047619047619047 车轮A0.2
  	class: 赠送  	d: 13  	pt: 1.4048780487804877  	diff:  送AB0.30243902439024395 捐赠A0.2 馈送AB0.6536585365853658 奉送A0.2 赠送B0.04878048780487805
  	class: 逼近  	d: 8  	pt: 1.4  	diff:  逼AB0.575 薄AB0.125 逼近AB0.7
  	class: 天然  	d: 13  	pt: 1.380952380952381  	diff:  天赋AB0.5238095238095237 自发AB0.5476190476190477 原生态A0.16666666666666666 天生B0.14285714285714285
  	class: 填  	d: 11  	pt: 1.38  	diff:  填写AB0.5216666666666666 装满A0.08333333333333333 填充AB0.63 回填A0.041666666666666664 填AB0.04333333333333333 揣B0.02 填入B0.04
  	class: 生效  	d: 5  	pt: 1.3777777777777778  	diff:  生效AB0.5777777777777777 奏效AB0.6888888888888889 见效A0.1111111111111111
  	class: 习题  	d: 2  	pt: 1.368421052631579  	diff:  练习题AB0.6842105263157895 习题B0.6842105263157895
  	class: 堆积  	d: 5  	pt: 1.3333333333333335  	diff:  堆AB0.6666666666666667 堆积B0.5 积聚B0.16666666666666666
  	class: 渴望  	d: 25  	pt: 1.3333333333333335  	diff:  渴望AB0.6666666666666667 期盼B0.6666666666666666
  	class: 火焰  	d: 6  	pt: 1.3333333333333335  	diff:  火焰A0.6666666666666666 火花AB0.6666666666666667
  	class: 红外线  	d: 3  	pt: 1.3333333333333335  	diff:  热线A0.6666666666666666 红外线AB0.6666666666666667
  	class: 眼镜  	d: 2  	pt: 1.3333333333333335  	diff:  镜子A0.6666666666666666 眼镜AB0.6666666666666667
  	class: 签注  	d: 3  	pt: 1.3333333333333335  	diff:  签A0.6666666666666666 签证AB0.6666666666666667
  	class: 一生  	d: 10  	pt: 1.3333333333333335  	diff:  终生A0.6666666666666666 毕生AB0.6666666666666667
  	class: 高技术  	d: 2  	pt: 1.3333333333333335  	diff:  高技术AB0.6666666666666667 高新技术B0.6666666666666666
  	class: 笑话  	d: 3  	pt: 1.3333333333333335  	diff:  玩笑AB0.6666666666666667 噱头A0.6666666666666666
  	class: 克制  	d: 10  	pt: 1.3333333333333335  	diff:  憋A0.3333333333333333 压抑A0.3333333333333333 按压AB0.6666666666666667
  	class: 踏实  	d: 15  	pt: 1.3333333333333335  	diff:  扎实AB0.6666666666666667 踏实B0.6666666666666666
  	class: 鲜艳  	d: 12  	pt: 1.3333333333333335  	diff:  花哨AB0.6666666666666667 鲜艳A0.6666666666666666
  	class: 得罪  	d: 8  	pt: 1.3333333333333335  	diff:  冒犯A0.6666666666666666 触犯AB0.6666666666666667
  	class: 逮捕  	d: 22  	pt: 1.3333333333333335  	diff:  办案A0.5 抓AB0.6666666666666667 捉A0.16666666666666666
  	class: 佩带  	d: 6  	pt: 1.3333333333333335  	diff:  身着A0.6666666666666666 佩戴AB0.6666666666666667
  	class: 修理  	d: 7  	pt: 1.3333333333333335  	diff:  修理A0.6666666666666666 弥合AB0.6666666666666667
  	class: 领会  	d: 8  	pt: 1.3333333333333335  	diff:  领悟AB0.6666666666666667 领会B0.6666666666666666
  	class: 袭击  	d: 3  	pt: 1.3333333333333335  	diff:  袭击AB0.6666666666666667 侵袭B0.6666666666666666
  	class: 再生  	d: 8  	pt: 1.3333333333333335  	diff:  复兴AB0.6666666666666667 再生B0.6666666666666666
  	class: 讥讽  	d: 13  	pt: 1.3333333333333335  	diff:  讽刺AB0.6666666666666667 嘲讽B0.6666666666666666
  	class: 开市  	d: 6  	pt: 1.3333333333333335  	diff:  开业AB0.6666666666666667 开篇A0.6666666666666666
  	class: 挽回  	d: 4  	pt: 1.3333333333333335  	diff:  扭转AB0.6666666666666667 挽回B0.6666666666666666
  	class: 放慢  	d: 6  	pt: 1.3333333333333335  	diff:  减慢AB0.16666666666666669 放慢A0.5 减速B0.6666666666666666
  	class: 皇帝  	d: 26  	pt: 1.3333333333333333  	diff:  君AB0.16666666666666669 至尊A0.16666666666666666 可汗A0.08333333333333333 国王AB0.41666666666666663 皇帝A0.08333333333333333 王者A0.16666666666666666 统治者B0.08333333333333333 君主B0.16666666666666666
  	class: 见识  	d: 10  	pt: 1.3333333333333333  	diff:  见识AB0.6666666666666667 视界B0.3333333333333333 眼界B0.3333333333333333
  	class: 中断  	d: 13  	pt: 1.3333333333333333  	diff:  停顿A0.3333333333333333 刹车AB0.6666666666666667 中止A0.3333333333333333
  	class: 愤怒  	d: 33  	pt: 1.3333333333333333  	diff:  愤怒AB0.6666666666666667 气愤B0.3333333333333333 恼怒B0.3333333333333333
  	class: 劝告  	d: 19  	pt: 1.3333333333333333  	diff:  告诫A0.3333333333333333 规AB0.16666666666666669 劝说A0.3333333333333333 劝导B0.5
  	class: 不断  	d: 34  	pt: 1.3333333333333333  	diff:  穿梭AB0.3333333333333333 不息A0.3333333333333333 连发A0.3333333333333333 源源B0.3333333333333333
  	class: 游荡  	d: 9  	pt: 1.3333333333333333  	diff:  游荡AB0.16666666666666669 逛A0.3333333333333333 闲逛A0.3333333333333333 游B0.5
  	class: 挤出  	d: 3  	pt: 1.3333333333333333  	diff:  腾出AB0.6666666666666667 抽出B0.3333333333333333 挤出B0.3333333333333333
  	class: 分开  	d: 13  	pt: 1.3185585585585586  	diff:  细分AB0.14522522522522524 划分AB0.07045045045045045 分AB0.3858558558558559 分割AB0.6592792792792793 分叉A0.02 瓜分AB0.03774774774774775
  	class: 下棋  	d: 6  	pt: 1.296875  	diff:  下棋AB0.3515625 对弈AB0.296875 博弈AB0.6484375
  	class: 布置  	d: 8  	pt: 1.2857142857142856  	diff:  摆放AB0.5238095238095237 布置AB0.11904761904761904 摆B0.5714285714285714 摆设B0.07142857142857142
  	class: 命运  	d: 11  	pt: 1.2857142857142856  	diff:  大数AB0.38095238095238093 命运AB0.26190476190476186 运气B0.5 天机B0.07142857142857142 天数B0.07142857142857142
  	class: 生病  	d: 21  	pt: 1.2857142857142856  	diff:  病AB0.6428571428571428 患病B0.2857142857142857 患有B0.2857142857142857 患B0.07142857142857142
  	class: 揭露  	d: 7  	pt: 1.2727272727272727  	diff:  揭开AB0.6363636363636364 揭露B0.36363636363636365 揭秘B0.2727272727272727
  	class: 艰巨  	d: 7  	pt: 1.25  	diff:  艰巨AB0.625 繁重B0.625
  	class: 放松  	d: 5  	pt: 1.25  	diff:  放松AB0.125 松AB0.625 放宽B0.5
  	class: 便宜  	d: 10  	pt: 1.25  	diff:  最低价A0.5 低廉AB0.625 价廉A0.125
  	class: 保密  	d: 3  	pt: 1.25  	diff:  保密AB0.625 秘B0.625
